sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新營,臺南市,54,細懸浮微粒,普通,0,0.18,12,19,24,15,7,7.8,0.8,0.5,113,2025/04/22 00:00:00,0.1,13.7,23,0,120.31725,23.305633,43
善化,臺南市,57,細懸浮微粒,普通,0,0.15,9,18,19,13,5,7,1,0.5,134,2025/04/22 00:00:00,0.1,14.6,20,0,120.29740529,23.11337642,44
安南,臺南市,49,,良好,0.6,0.21,16,22,23,16,5,6.3,0.8,0.4,28,2025/04/22 00:00:00,0.1,12.1,22,0,120.2175,23.048197,45
臺南,臺南市,45,,良好,0.1,0.21,17,21,24,11,7,7.7,0.6,0.3,19,2025/04/22 00:00:00,0.1,11.2,21,0,120.21947897,22.98928311,46
美濃,高雄市,59,細懸浮微粒,普通,1,0.2,10,24,22,12,6,7.4,0.7,0.7,77,2025/04/22 00:00:00,0.2,15.6,25,0,120.530542,22.883583,47
橋頭,高雄市,57,細懸浮微粒,普通,2.2,0.19,11,20,30,19,10,10.9,0.2,0.7,49,2025/04/22 00:00:00,0.1,14.7,23,1,120.305689,22.757506,48
仁武,高雄市,44,,良好,2.9,0.26,14,21,28,12,14,15.9,1,1.1,319,2025/04/22 00:00:00,0.2,11,23,1,120.332631,22.689056,49
鳳山,高雄市,63,細懸浮微粒,普通,1.5,0.3,14,18,23,18,11,12.2,0.2,0.3,106,2025/04/22 00:00:00,0.4,16.9,24,1,120.357422,22.628126,50
大寮,高雄市,58,細懸浮微粒,普通,0.9,0.27,6,14,27,16,12,13,0.8,0.7,335,2025/04/22 00:00:00,0.2,15,29,1,120.425311,22.56413611,51
林園,高雄市,53,細懸浮微粒,普通,1.3,0.22,9,13,30,12,14,14.9,0.8,0,30,2025/04/22 00:00:00,0.2,13.2,28,1,120.41175,22.4795,52
楠梓,高雄市,56,細懸浮微粒,普通,0.6,0.23,10,19,30,15,11,12.2,0.4,1.3,54,2025/04/22 00:00:00,0.1,14.2,27,0,120.328289,22.733667,53
左營,高雄市,45,,良好,0.8,0.13,18,21,26,10,4,5.4,0.6,1.2,313,2025/04/22 00:00:00,0.1,11.2,20,0,120.292917,22.674861,54
前金,高雄市,43,,良好,0.3,0.14,19,19,16,9,4,5.4,0.7,1.1,329,2025/04/22 00:00:00,0.1,10.6,22,0,120.28676111,22.63390278,56
